slug,title_ok,description_ok,one_h1,facts_verified,links_ok,mobile_ok,reviewer,reviewed_at,notes
guide,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,MVP1 新手清单、补丁边界和官方 12 分钟视频已复核；TDH 保持锁定
wiki,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,新增系统登记和明确未知项有逐断言来源；桌面与移动表格可访问
strategy,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,新增离线审计和捕获流程未虚构数值；相关内部路由可访问
tier-list,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,新增版本化测试协议与停止条件；仍未伪装成全量排行
walkthrough,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,新增任务卡点分诊与补丁范围；未虚构完整章节或隐藏路线
review,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,825 条评测快照明确标注日期和非质量证明；两个 YouTube 直链有摘要回退
multiplayer,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,当前单机与路线图 Online Co-op 计划分离；未声称 ETA、跨平台或匹配机制
requirements,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,AG-12 稳定性条目未作性能保证；390x844 表格为容器内横向滚动
updates,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,AG-12、Aug 11、已知问题和路线图状态可读；官方路线图 JPEG 有效
official-links,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,backer 支持路径与周边未核验状态分离；仿冒域名警示保留
about,pass,pass,pass,pass,pass,pass,Codex browser QA,2026-08-13T01:03:00+08:00,逐断言来源方法、社区信号边界和快照方法已复核；全站粉丝站披露存在
